Datetime,Volume,mom,mom1,mom2,mom3,ROC_5,ROC_10,ROC_15,ROC_20,EMA_10,EMA_20,EMA_50,EMA_200,DTB4WK,DTB3,DTB6,DGS5,DGS10,Oil,Gold,DAAA,DBAA,GBP,JPY,CAD,CNY,AAPL,AMZN,GE,JNJ,JPM,MSFT,WFC,XOM,FCHI,FTSE,GDAXI,GSPC,HSI,DJI,SSEC,RUT,NYSE,TE1,TE2,TE3,TE5,TE6,DE1,DE2,DE4,DE5,DE6,CTB3M,CTB6M,CTB1Y,AUD,Brent,CAC-F,copper-F,WIT-oil,DAX-F,DJI-F,EUR,FTSE-F,gold-F,HSI-F,KOSPI-F,NASDAQ-F,GAS-F,Nikkei-F,NZD,silver-F,RUSSELL-F,S&P-F,CHF,Dollar index-F,Dollar index,wheat-F,XAG,XAU,Close
2010-10-19,0.2998359144,-0.017620295600000002,0.0048161197,0.013710443000000001,-0.0023963726999999997,0.7870413254,1.5467708877000002,2.4104934413,3.7286845019,2428.90166388,2394.45033924,2329.95131549,2296.16814968,0.14,0.14,0.18,1.11,2.5,-0.0420178184,-0.0206619126,4.7,5.75,-0.012013368600000001,0.0042365823,0.0156027253,6.0293629977999997e-05,-0.0267610008,-0.0298972858,-0.0110769231,-0.008925775,-0.0133508373,-0.0278853602,-0.0128669878,-0.0175014487,-0.0071274164,-0.0067218281000000005,-0.0039805762,-0.0158772507,0.0125418566,-0.014812894699999999,0.0157774598,-0.022502895099999996,-0.0194753991,2.36,2.36,2.32,0.0,0.04,1.05,3.25,5.57,5.61,5.61,0.0,-0.026315789500000002,-0.026315789500000002,-2.09,-3.88,-0.73,-2.47,-4.32,-0.44,-0.92,-1.53,-0.72,-2.63,1.55,-1.21,-1.29,2.39,0.42,-1.84,-2.59,-1.74,-1.23,1.27,1.66,1.62,-2.58,-4.14,-2.51,2436.949951
2010-10-20,-0.10039521109999999,0.00838751,-0.017620295600000002,0.0048161197,0.013710443000000001,0.66195783,3.2230551123,3.4011273434,5.2618209686,2434.0813419,2400.44458246,2334.94890677,2297.77234613,0.14,0.14,0.17,1.11,2.51,0.029659419399999998,0.0,4.69,5.74,0.0090479411,-0.0059723823,-0.0103581801,0.0008892774000000002,0.0033603573999999997,0.0,-0.0012446173,0.0048980407,0.010878190800000001,0.008366494,0.042769899900000005,0.013667060200000001,0.0055106498,0.0043829661,0.0052166818,0.0105240756,-0.008720451899999999,0.0117819552,0.0006988687,0.011467205500000001,0.0134920367,2.37,2.37,2.34,0.0,0.03,1.05,3.23,5.57,5.6,5.6,-0.055555555599999994,-0.0540540541,0.0,1.83,3.08,0.58,0.88,2.87,0.61,1.1,1.69,0.39,0.61,-1.05,0.79,0.79,0.74,-1.57,1.4,1.03,0.91,0.94,-1.01,-1.29,-1.29,2.52,2.44,0.82,2457.389893
2010-10-21,0.058861446799999995,0.0009278255,0.00838751,-0.017620295600000002,0.0048161197,0.9973819348999999,3.1883609093,3.8440020139,5.6976915085,2438.73381101,2406.08509098,2339.83992697,2299.38326729,0.13,0.13,0.18,1.15,2.57,-0.0231905285,0.003360717,4.71,5.77,-0.0084057532,0.0030226759999999997,0.0035214712,-0.0002560048,-0.0032524427,0.0397050676,0.0031153273,0.0061321386,-0.010498609499999999,0.0043461479,0.016796914099999997,0.0046962277000000005,0.0130925171,0.0050620539,0.013251483,0.0017739085999999996,0.0039471258,0.0034750352,-0.0067973634,-0.0056828561,-0.0010819169000000001,2.44,2.44,2.39,0.0,0.05,1.06,3.2,5.59,5.64,5.64,0.05882352940000001,0.0571428571,0.036036036,-0.89,-2.12,1.31,-0.32,-1.48,1.16,0.18,-0.34,0.6,-1.38,0.5,0.41,-0.18,-4.83,-0.11,-0.98,-3.69,-0.53,0.09,0.64,0.28,0.32,-3.09,-3.26,-1.55,2459.669922
2010-10-26,0.09621947869999999,0.002585439,0.0046221875,0.0080173241,0.0009278255,2.4760495379,3.2825783963,4.061119239,4.9462279908,2462.08160761,2427.79023155,2356.75591897,2304.99431889,0.14,0.14,0.18,1.27,2.67,0.007317073199999999,-0.0059813083999999996,4.78,5.8,0.0089390688,0.0063346863,0.0041200706,0.000496375,-0.0025579783,0.005621284,0.0062267127,-0.0021881838,0.0035069059,0.028185747200000007,0.0073872864,0.0049849247,-0.0044806429,-0.0077712439000000005,-0.0038272860999999997,1.68856801373e-05,-0.0011287464999999999,0.0004846051,-0.0032362004,-0.001356174,-0.0020645764,2.53,2.53,2.49,0.0,0.04,1.02,3.13,5.62,5.66,5.66,0.0,0.08108108110000001,0.0583333333,-0.56,0.14,-0.57,0.18,0.04,-0.25,0.08,-0.75,-0.79,-0.02,-0.56,-0.08,0.36,1.12,-0.74,-0.52,2.42,-0.23,0.0,1.17,0.79,0.79,3.65,0.85,-0.04,2497.290039
2010-10-27,0.051657220499999996,0.0023905798,0.002585439,0.0046221875,0.0080173241,1.8666194213,2.5409334847,5.1498367063,5.3312328683,2469.56858987,2434.9778295,2362.50117744,2306.96711184,0.14,0.14,0.18,1.34,2.75,-0.0084745763,-0.0037608122999999998,4.8,5.84,-0.0047949164,0.0042047655,0.0043376319,0.0026911223,-0.0007140887,-0.014357175900000001,-0.0030939975,-0.0042293233,0.0091397847,0.0057914672,-0.0061752219,-0.0129265145,-0.009575174799999999,-0.0107405966,-0.0069248853,-0.002690584,-0.018501576699999998,-0.0038658707000000002,-0.014629046299999999,-0.0038193499,-0.006630064399999999,2.61,2.61,2.57,0.0,0.04,1.04,3.09,5.66,5.7,5.7,0.0,0.0,0.055118110199999994,-1.37,-0.51,-0.94,-2.36,-0.74,-0.8,-0.47,-0.66,-1.04,-1.18,-2.12,-0.74,0.37,-1.85,0.53,0.03,-2.97,-0.26,-0.34,0.47,0.6,0.57,0.61,-1.22,-1.09,2503.26001
2010-10-28,-0.0074010053,0.0016419018,0.0023905798,0.002585439,0.0046221875,1.9392925276,2.9560166158,5.1894850817,5.8578409852999975,2476.4415948,2441.87233307,2368.18231232,2308.96117159,0.14,0.13,0.18,1.23,2.69,0.0036630037,0.0067950169999999996,4.81,5.85,0.0,0.0,0.0,0.0010645635,-0.0084138027,-0.0039997554,-0.0018622594,-0.0001572912,-0.0007992275,0.0088292518,0.0073786795999999984,0.0083752553,0.0049976985,0.005650000400000001,0.0041534386,0.0011248493,0.0019978473999999998,-0.0011081941,-0.0014911319,-0.0045439006,0.0032055069,2.55,2.56,2.51,-0.01,0.04,1.04,3.16,5.67,5.72,5.71,0.0,-0.075,-0.0820895522,0.7,0.43,0.62,0.32,0.29,0.48,-0.21,1.18,0.55,1.51,0.23,0.06,0.09,18.17,-0.43,0.86,2.02,-0.84,0.04,-0.53,-1.12,-1.07,2.06,1.95,1.44,2507.3701170000004
2010-11-02,0.0053496711,0.0114498056,-0.0010248919,1.58712109273e-05,0.0016419018,1.4507718540999999,3.9627432217000003,4.7809729738,5.5708086679,2494.81330625,2461.13587484,2384.85518514,2315.06075249,0.13,0.13,0.16,1.15,2.63,0.011695201399999999,-0.0025839793,4.66,5.71,0.0007384089,0.0019028431,-0.0053039976,0.003332983,0.0170294138,0.0124861544,-0.0006269592,0.0029832313,-0.0122928654,0.0163264558,0.0015425762,0.013293488300000001,0.0064069666,0.011027956799999999,0.007486940999999999,0.0077592841000000004,0.0007813181,0.0057619594,-0.0028116748,0.0205136524,0.009712097099999999,2.5,2.5,2.47,0.0,0.03,1.05,3.08,5.55,5.58,5.58,0.0,0.0,-0.0170940171,1.26,0.93,0.61,1.43,1.15,0.78,0.56,1.07,1.2,0.46,0.11,0.03,1.0,0.99,0.11,0.55,1.16,1.99,0.82,-1.25,-0.76,-0.75,-1.56,1.18,0.43,2533.52002
2010-11-03,0.0393894453,0.0026642772999999997,0.0114498056,-0.0010248919,1.58712109273e-05,1.478472466,3.3726893414999997,4.0569729526,6.70444809,2503.07816329,2468.67246009,2390.94988455,2317.30164072,0.13,0.13,0.16,1.11,2.67,0.0064354666,-0.0040710584999999995,4.78,5.83,-0.001715456,0.0013530579999999999,-0.0038510910999999997,-0.0021397896,0.0111197407,0.023449365,0.0075281681000000005,0.0048528647,0.0205628252,-0.013143410500000001,0.0188679253,0.0019163473999999998,-0.0058928298,-0.0014589749,-0.0054867077,0.0036780541999999997,0.0199924636,0.002360427,-0.0047435093,0.0031561671,0.0034647234999999996,2.54,2.54,2.51,0.0,0.03,1.05,3.16,5.67,5.7,5.7,0.0,0.0,-0.0347826087,0.6,1.14,-0.58,-1.38,0.94,-0.7,0.22,0.75,-0.18,-1.42,1.63,0.93,0.65,-0.88,1.39,2.0,-1.61,0.43,0.38,-0.73,-0.35,-0.31,-0.11,-0.36,-0.65,2540.27002
2010-11-04,0.2520284765,0.014592963600000003,0.0026642772999999997,0.0114498056,-0.0010248919,2.7905721027999997,4.7839819867,5.8290784937,8.1248735076,2516.58033142,2479.02175799,2398.25930429,2319.88908796,0.13,0.13,0.17,1.04,2.53,0.0241563055,0.0263842438,4.75,5.77,0.004654972,0.0047355086,-0.0003965107,-0.0005098521,0.0174872216,0.002730409,0.028019989300000003,0.0088798876,0.0551431056,0.0040694782,0.0377928964,0.020744386899999998,0.0192144788,0.019794713000000002,0.0176629906,0.0192828632,0.0161924325,0.0195904963,0.0184596334,0.0256173709,0.0228720608,2.4,2.4,2.36,0.0,0.04,1.02,3.24,5.6,5.64,5.64,0.0625,-0.029411764700000002,-0.0630630631,0.86,1.88,1.93,3.33,2.13,1.82,1.88,0.39,1.94,3.41,2.02,0.3,0.94,0.52,0.67,1.04,6.58,2.22,1.77,-1.47,-0.81,-0.78,3.67,6.08,3.27,2577.340088
2010-11-05,-0.1601894023,0.000636273,0.014592963600000003,0.0026642772999999997,0.0114498056,2.8543425492,4.0167174707,4.4641647098,7.3720528449,2527.92572207,2488.54158865,2405.34638961,2322.46710679,0.13,0.13,0.16,1.1,2.58,0.0041623309,0.0104996379,4.78,5.85,0.0104979527,-0.0033806538000000002,-0.0059202696999999995,-0.0019354257999999998,-0.0035818612,0.010892151000000001,0.0133252574,-0.0016985792999999999,0.028643216800000006,-0.0106852988,0.0640932288,0.008936336500000001,-1.27780982414e-05,0.0021491604,0.0028969788,0.003922753,0.013905876599999999,0.0008080772999999999,0.013786506799999999,0.0042674514,0.0023424534,2.45,2.45,2.42,0.0,0.03,1.07,3.27,5.69,5.72,5.72,-0.05882352940000001,0.1515151515,0.057692307699999994,0.19,0.13,-0.04,0.97,0.42,0.27,-0.1,-1.17,0.09,1.06,1.01,0.22,0.01,2.1,3.1,0.11,2.71,0.55,0.29,0.42,0.91,0.88,1.18,1.4,0.08,2578.97998
